ticket,open_time,type,size,item,open_px,sl,tp,close_time,close_px,commission,taxes,swap,profit
42801131,2026.05.28 06:59:36,sell,0.01,xauusd,4375.95,0.00,4372.95,2026.05.28 07:01:09,4372.95,0.00,0.00,0.00,3.00
42801469,2026.05.28 07:01:09,sell,0.01,xauusd,4372.54,0.00,4375.55,2026.05.28 07:16:06,4375.55,0.00,0.00,0.00,-3.01
42801474,2026.05.28 07:01:09,buy,0.02,xauusd,4373.02,0.00,4373.57,2026.05.28 07:02:32,4373.57,0.00,0.00,0.00,1.10
42801519,2026.05.28 07:01:18,buy,0.02,xauusd,4370.39,0.00,4373.57,2026.05.28 07:02:32,4373.57,0.00,0.00,0.00,6.36
42801606,2026.05.28 07:02:33,buy,0.01,xauusd,4374.05,0.00,4377.05,2026.05.28 07:03:01,4377.05,0.00,0.00,0.00,3.00
42801642,2026.05.28 07:02:52,sell,0.02,xauusd,4375.92,0.00,4375.55,2026.05.28 07:16:06,4375.55,0.00,0.00,0.00,0.74
42801700,2026.05.28 07:03:01,buy,0.01,xauusd,4377.81,0.00,4376.75,2026.05.28 07:06:11,4376.75,0.00,0.00,0.00,-1.06
42801751,2026.05.28 07:04:00,buy,0.02,xauusd,4373.97,0.00,4376.75,2026.05.28 07:06:11,4376.75,0.00,0.00,0.00,5.56
42801844,2026.05.28 07:06:12,buy,0.01,xauusd,4377.16,0.00,4380.16,2026.05.28 07:07:16,4380.16,0.00,0.00,0.00,3.00
42801870,2026.05.28 07:07:02,sell,0.02,xauusd,4379.18,0.00,4375.55,2026.05.28 07:16:06,4375.55,0.00,0.00,0.00,7.26
42801937,2026.05.28 07:07:17,buy,0.01,xauusd,4380.97,0.00,4373.15,2026.05.28 07:36:35,4373.15,0.00,0.00,0.00,-7.82
42802058,2026.05.28 07:11:47,buy,0.02,xauusd,4377.97,0.00,4373.15,2026.05.28 07:36:35,4373.15,0.00,0.00,0.00,-9.64
42802167,2026.05.28 07:16:07,sell,0.01,xauusd,4375.03,0.00,4372.03,2026.05.28 07:18:25,4372.03,0.00,0.00,0.00,3.00
42802193,2026.05.28 07:16:18,buy,0.02,xauusd,4374.60,0.00,4373.15,2026.05.28 07:36:35,4373.15,0.00,0.00,0.00,-2.90
